dorm_name,capacity,latitude,longitude,formatted_address,place_id,Total Parking Spaces,Occupied Spaces
Alamito,505,29.8907069,-97.9421424,"102 Russell Cir, San Marcos, TX 78666, USA",ChIJXdq6QwCpXIYR3Llz2hvdYSY,696,0
Balcones,0,29.888411,-97.938351,"601 University Dr, San Marcos, TX 78666, USA",ChIJ3yStNnCoXIYRkulAp54VF3E,0,0
Bexar,202,29.8863769,-97.9480979,"100 Llano Cir, San Marcos, TX 78666, USA",ChIJ7Xcbw2-oXIYR1YezPAGFypY,557,0
Blanco,594,29.8871351,-97.9519144,"701 Moore St, San Marcos, TX 78666, USA",ChIJf9dt43CoXIYR0Mc75Frp3BI,392,0
Bobcat Village Apartments,0,29.8931366,-97.9222567,"1301 Aquarena Springs Dr, San Marcos, TX 78666, USA",ChIJdfj5QEmoXIYRv3-CbegaNPE,0,0
Brogdon,115,29.8882987,-97.9399,"Brogdon Hall, 607 N Edward Gary St, San Marcos, TX 78666, USA",ChIJf317q2moXIYRK7pBUqDQWcU,0,0
Butler,236,29.8870394,-97.9389694,"500 N Edward Gary St, San Marcos, TX 78666, USA",ChIJOWRJE8qpXIYRkK3CBpJY7IE,481,0
Chautauqua,306,29.8904711,-97.946585,"302 Student Center Dr, San Marcos, TX 78666, USA",ChIJ_VMPEiKpXIYRtUs52qENkwk,88,0
Cibilo,501,29.8901193,-97.9424202,"102 Russell Cir, San Marcos, TX 78666, USA",ChIJrcEROQCpXIYR5-DxagFJLJ0,696,0
College Inn,280,29.88933089999999,-97.9463904,"College Inn, San Marcos, TX 78666, USA",ChIJ-xRyaG6oXIYRieyzW_66PtM,42,0
Cypress,0,29.888411,-97.938351,"601 University Dr, San Marcos, TX 78666, USA",ChIJ3yStNnCoXIYRkulAp54VF3E,0,0
Elena Zamora O'Shea,318,29.8900322,-97.953863,"130 Speck St, San Marcos, TX 78666, USA",ChIJ4SvwXgCpXIYRVSAMhrT-jvI,342,0
Falls,286,29.8863734,-97.9509257,"631 Moore St, San Marcos, TX 78666, USA",ChIJuXIVDHCoXIYR2stBG5sZu8o,121,0
First Five Freedom,280,29.8893152,-97.9535514,"951 Moore St, San Marcos, TX 78666, USA",ChIJ8-gdvO6pXIYRi9Ay_Ypg9vA,613,0
Gallardia,306,29.8900206,-97.9464839,"302 Student Center Dr Gaillardia Hall, San Marcos, TX 78666, USA",ChIJg9RIcG6oXIYR_9DJWT0XdT0,88,0
Jackson,423,29.8899181,-97.9445478,"702 Tomas Rivera Dr, San Marcos, TX 78666, USA",ChIJf_cWl26oXIYRMBVJBNd-laU,784,0
Lantana,239,29.8870106,-97.9397323,"San Marcos, TX 78666, USA",ChIJKe_XMKGpXIYRnBrcnmjt0fE,481,0
Laurel,141,29.8876145,-97.9406014,"Laurel Hall, 600 N LBJ Dr, San Marcos, TX 78666, USA",ChIJsY74Y8WpXIYRakDZucAEauU,0,0
Mesquite,89,29.8881956,-97.940644,"Beretta Hall, 616 N LBJ Dr, San Marcos, TX 78666, USA",ChIJU-CvsmWpXIYR6tcCkGrcnoE,0,0
Retama,129,29.88783,-97.941214,"Retama Hall, 611 N LBJ Dr, San Marcos, TX 78666, USA",ChIJZ6bn42ioXIYRMQEY2mUeFDo,249,0
San Jacinto,469,29.88692499999999,-97.944083,"217 W Woods St, San Marcos, TX 78666, USA",ChIJu1pGPG-oXIYRzOmV31N-VjE,931,0
San Marcos,417,29.88692409999999,-97.9486761,"703 Academy St, San Marcos, TX 78666, USA",ChIJtQKhKHCoXIYRlEeOp5VKLRc,678,0
Sayers,292,29.8863734,-97.9509257,"631 Moore St, San Marcos, TX 78666, USA",ChIJuXIVDHCoXIYR2stBG5sZu8o,121,0
Sterry Hall,371,29.8863414,-97.9398855,"409 N Edward Gary St, San Marcos, TX 78666, USA",ChIJJRD_Y2ioXIYRLpx1xS-aZXY,481,0
Tower,434,29.8869345,-97.9430557,"101 W Woods St, San Marcos, TX 78666, USA",,846,0
